_id,NAMA,BA1,BA2,BA3,BA4,BA5,BA10,BA11,BA12,BA13,NO TEL,JENIS,TARIKH,X,Y
121,KLINIK PERGIGIAN TASEK GELUGOR,KLINIK KESIHATAN TASEK GELUGOR,-,-,13300,PULAU PINANG,-,-,-,TASEK GELUGOR,04-5737821,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4915,5.4842
122,KLINIK PERGIGIAN KEPALA BATAS,PUSAT KESIHATAN BESAR,-,-,13200,PULAU PINANG,-,-,-,KEPALA BATAS,04-5753460,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4336,5.5164
123,KLINIK PERGIGIAN SUNGAI DUA,KLINIK KESIHATAN SUNGAI DUA,-,JALAN PENGKALAN MACHANG,13800,PULAU PINANG,-,-,SUNGAI DUA,BUTTERWORTH,04-3564355,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4307,5.4417
124,KLINIK PERGIGIAN PENAGA,KLINIK KESIHATAN PENAGA,-,JALAN PENAGA,13110,PULAU PINANG,-,-,PENAGA,KEPALA BATAS,04-5751430,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.3811,5.5332
125,KLINIK PERGIGIAN PAKAR BEDAH MULUT,HOSPITAL PULAU PINANG,-,JALAN RESIDENSI,10450,PULAU PINANG,-,-,-,GEORGE TOWN,04-2002212,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.3111,5.4164
126,KLINIK PERGIGIAN PAKAR PEDIATRIK,HOSPITAL PULAU PINANG,-,JALAN RESIDENSI,10450,PULAU PINANG,-,-,-,GEORGE TOWN,04-222 5211,KLINIK PERGIGIAN,2017-02-07T00:00:00,100.3108,5.4166
127,KLINIK PERGIGIAN AIR ITAM,KLINIK KESIHATAN AIR ITAM,-,JALAN BUKIT BENDERA,11500,PULAU PINANG,-,-,-,AYER ITAM,04-8288355,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.2823,5.4057
128,KLINIK PERGIGIAN JALAN PERAK,KLINIK KESIHATAN JALAN PERAK,LOT 808,JALAN PERAK,10400,PULAU PINANG,-,SEKSYEN 2,-,GEORGE TOWN,04-2813753,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.3148,5.4025
129,KLINIK PERGIGIAN JALAN MACALISTER,KLINIK KESIHATAN JALAN MACALISTER,-,JALAN MACALISTER,10400,PULAU PINANG,-,-,-,GEORGE TOWN,04-2289479,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.3261,5.4151
130,KLINIK PERGIGIAN BUKIT JAMBUL,KLINIK KESIHATAN BUKIT JAMBUL,-,JALAN TUN DR AWANG,11900,PULAU PINANG,BLOK H-G-5,TAMAN BUKIT JAMBUL,BUKIT JAMBUL,BAYAN LEPAS,04-6429572,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.2893,5.3365
131,KLINIK PERGIGIAN TANJONG BUNGAH,KLINIK KESIHATAN TANJONG BUNGAH,-,-,11200,PULAU PINANG,-,-,-,TANJONG BUNGAH,04-8990953,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.2796,5.4621
132,KLINIK PERGIGIAN SUNGAI DUA,KLINIK KESIHATAN SUNGAI DUA,-,-,11700,PULAU PINANG,-,-,-,SUNGAI DUA,04-6422201,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.2975,5.3441
133,KLINIK PERGIGIAN SUNGAI BAKAP,HOSPITAL SUNGAI BAKAP,-,-,14200,PULAU PINANG,-,SUNGAI JAWI,-,SEBERANG PERAI SELATAN,04-5824333,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4973,5.2198
134,KLINIK PERGIGIAN SUNGAI ACHEH,KLINIK KESIHATAN SUNGAI ACHEH,-,JALAN SUNGAI ACHEH,14300,PULAU PINANG,-,SUNGAI ACHEH,-,NIBONG TEBAL,04-5982729,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4226,5.1502
135,KLINIK PERGIGIAN SIMPANG AMPAT,KLINIK KESIHATAN BANDAR TASEK MUTIARA,-,JALAN TASEK MUTIARA,14100,PULAU PINANG,-,-,BANDAR TASEK MUTIARA,SIMPANG AMPAT,04-5887355,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4920,5.2816
136,KLINIK PERGIGIAN NIBONG TEBAL,KLINIK KESIHATAN NIBONG TEBAL,-,JALAN KLINIK,14300,PULAU PINANG,-,-,-,NIBONG TEBAL,04-5931355,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4738,5.1636
137,KLINIK PERGIGIAN BUKIT PANCHOR,KLINIK KESIHATAN BUKIT PANCHOR,C/O PEJ. PERGIGIAN DAERAH,JALAN BUKIT PANCHOR,14300,PULAU PINANG,-,-,BUKIT PANCHOR,NIBONG TEBAL,04-5942937,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4928,5.1667
138,KLINIK PERGIGIAN PRAI,KLINIK KESIHATAN PRAI,-,-,13700,PULAU PINANG,-,-,-,PRAI,04-3901477,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.3882,5.3837
139,KLINIK PERGIGIAN BERAPIT,KLINIK KESIHATAN BERAPIT,-,-,14000,PULAU PINANG,-,-,BERAPIT,BUKIT MERTAJAM,04-5071355,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4745,5.3764
140,KLINIK PERGIGIAN KUBANG SEMANG,KLINIK KESIHATAN KUBANG SEMANG,-,-,14400,PULAU PINANG,-,-,KUBANG SEMANG,BUKIT MERTAJAM,04-5371004,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4639,5.3975
141,KLINIK PERGIGIAN HOSPITAL BUKIT MERTAJAM,HOSPITAL BUKIT MERTAJAM,-,JALAN KULIM,14000,PULAU PINANG,-,-,-,BUKIT MERTAJAM,04-5383355,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4646,5.3599
142,KLINIK PERGIGIAN BUKIT MINYAK,KLINIK KESIHATAN BUKIT MINYAK,-,-,14000,PULAU PINANG,-,-,BUKIT MINYAK,BUKIT MERTAJAM,04-5071355,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4485,5.3267
143,KLINIK PERGIGIAN SEBERANG JAYA,POLIKLINIK KOMUNITI SEBERANG JAYA,-,JALAN PERPUSTAKAAN,13700,PULAU PINANG,-,-,BANDAR SUNWAY,SEBERANG JAYA,04-3907487,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.3984,5.3936
144,KLINIK PAKAR BEDAH MULUT,HOSPITAL SEBERANG JAYA,-,JALAN TUN HUSSEIN ONN,13700,PULAU PINANG,-,-,SEBERANG JAYA,PERAI,04-3862216,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.4083,5.3944
145,KLINIK 1MALAYSIA TAMAN SERI GENTING,-,-,-,11000,PULAU PINANG,NO. 22,TAMAN SERI GENTING,-,BALIK PULAU,04-866 2531,KLINIK 1 MALAYSIA,2017-02-07T00:00:00,100.2226,5.3368
146,KLINIK 1MALAYSIA BAGAN DALAM,-,-,-,12100,PULAU PINANG,A-G-03 & A-G-05,RUMAH PANGSA SRI BAGAN,-,BUTTERWORTH,04-323 3751,KLINIK 1 MALAYSIA,2017-02-07T00:00:00,100.3715,5.3925
147,KLINIK 1MALAYSIA PENANG TIMES SQUARE,"PENANG TIMES SQUARE,",-,JALAN DATUK KERAMAT,10150,PULAU PINANG,"LOT 77-3-16 &17 ,TINGKAT 3,",-,-,GEORGE TOWN,04-226 5486,KLINIK 1 MALAYSIA,2017-02-07T00:00:00,100.3251,5.4126
148,KLINIK 1MALAYSIA SIMPANG AMPAT,-,-,LORONG 1/SS1,14120,PULAU PINANG,NO. 81,BANDAR TASEK MUTIARA,SIMPANG AMPAT,-,04-5024915,KLINIK 1 MALAYSIA,2017-02-07T00:00:00,100.4829,5.2838
149,KLINIK 1MALAYSIA TAMAN KEMAJU,-,-,-,13300,PULAU PINANG,NO. 81,TAMAN BUNGA KEMAJU,TASEK GELUGOR,-,04- 5731222,KLINIK 1 MALAYSIA,2017-02-07T00:00:00,100.5036,5.4786
150,KLINIK 1MALAYSIA TAMAN MERBAU JAYA,-,-,LORONG MERBAU JAYA 1,13800,PULAU PINANG,NO. 8,"TAMAN MERBAU JAYA, SUNGAI DUA",-,BUTTERWORTH,04 3562087,KLINIK 1 MALAYSIA,2017-02-07T00:00:00,100.4322,5.4514
151,KLINIK 1MALAYSIA TAMAN PERWIRA,-,-,LORONG PERWIRA INDAH 1,14100,PULAU PINANG,NO. 49,TAMAN PERWIRA INDAH,-,BUKIT MERTAJAM,04- 5021548,KLINIK 1 MALAYSIA,2017-02-07T00:00:00,100.4769,5.2995
152,KLINIK 1MALAYSIA TAMAN SERI DELIMA,-,-,JALAN DELIMA 3,14000,PULAU PINANG,NO. G-25,TAMAN SERI DELIMA,-,BUKIT MERTAJAM,04-5040467,KLINIK 1 MALAYSIA,2017-02-07T00:00:00,100.4369,5.3166
